CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC_SYN,SYN-01,1,1
2,IPC_SYN,SYN-01,1,1
3,IPC_SYN,SYN-01,1,1
4,IPC_SYN,SYN-01,1,1
5,SPECIAL_LAW_SYN,SYN-03,1,1
6,SPECIAL_LAW_SYN,SYN-03,1,1
7,IPC_SYN,SYN-01,1,1
8,IT_ACT_SYN,SYN-02,1,1
9,IT_ACT_SYN,SYN-02,1,1
10,SPECIAL_LAW_SYN,SYN-03,1,1
11,SPECIAL_LAW_SYN,SYN-03,1,1
12,IPC_SYN,SYN-01,1,1
13,SPECIAL_LAW_SYN,SYN-03,1,1
14,IPC_SYN,SYN-01,1,1
15,IPC_SYN,SYN-01,1,1
16,IPC_SYN,SYN-01,1,1
17,IPC_SYN,SYN-01,1,1
18,SPECIAL_LAW_SYN,SYN-03,1,1
19,SPECIAL_LAW_SYN,SYN-03,1,1
20,IT_ACT_SYN,SYN-02,1,1
21,IPC_SYN,SYN-01,1,1
22,IPC_SYN,SYN-01,1,1
23,IPC_SYN,SYN-01,1,1
24,IPC_SYN,SYN-01,1,1
25,IPC_SYN,SYN-01,1,1
26,SPECIAL_LAW_SYN,SYN-03,1,1
27,IPC_SYN,SYN-01,1,1
28,IT_ACT_SYN,SYN-02,1,1
29,SPECIAL_LAW_SYN,SYN-03,1,1
30,IPC_SYN,SYN-01,1,1
31,IT_ACT_SYN,SYN-02,1,1
32,IPC_SYN,SYN-01,1,1
33,IT_ACT_SYN,SYN-02,1,1
34,IPC_SYN,SYN-01,1,1
35,IPC_SYN,SYN-01,1,1
36,IT_ACT_SYN,SYN-02,1,1
37,SPECIAL_LAW_SYN,SYN-03,1,1
38,IPC_SYN,SYN-01,1,1
39,SPECIAL_LAW_SYN,SYN-03,1,1
40,IPC_SYN,SYN-01,1,1
41,IPC_SYN,SYN-01,1,1
42,IT_ACT_SYN,SYN-02,1,1
43,IPC_SYN,SYN-01,1,1
44,IPC_SYN,SYN-01,1,1
45,SPECIAL_LAW_SYN,SYN-03,1,1
46,SPECIAL_LAW_SYN,SYN-03,1,1
47,IPC_SYN,SYN-01,1,1
48,SPECIAL_LAW_SYN,SYN-03,1,1
49,IPC_SYN,SYN-01,1,1
50,IPC_SYN,SYN-01,1,1
51,SPECIAL_LAW_SYN,SYN-03,1,1
52,SPECIAL_LAW_SYN,SYN-03,1,1
53,IPC_SYN,SYN-01,1,1
54,IPC_SYN,SYN-01,1,1
55,IPC_SYN,SYN-01,1,1
56,SPECIAL_LAW_SYN,SYN-03,1,1
57,IPC_SYN,SYN-01,1,1
58,SPECIAL_LAW_SYN,SYN-03,1,1
59,SPECIAL_LAW_SYN,SYN-03,1,1
60,SPECIAL_LAW_SYN,SYN-03,1,1
61,IPC_SYN,SYN-01,1,1
62,IPC_SYN,SYN-01,1,1
63,IPC_SYN,SYN-01,1,1
64,IPC_SYN,SYN-01,1,1
65,IPC_SYN,SYN-01,1,1
66,IT_ACT_SYN,SYN-02,1,1
67,IPC_SYN,SYN-01,1,1
68,IPC_SYN,SYN-01,1,1
69,SPECIAL_LAW_SYN,SYN-03,1,1
70,IPC_SYN,SYN-01,1,1
71,IPC_SYN,SYN-01,1,1
72,IT_ACT_SYN,SYN-02,1,1
73,IPC_SYN,SYN-01,1,1
74,IPC_SYN,SYN-01,1,1
75,IPC_SYN,SYN-01,1,1
76,IPC_SYN,SYN-01,1,1
77,SPECIAL_LAW_SYN,SYN-03,1,1
78,IPC_SYN,SYN-01,1,1
79,IPC_SYN,SYN-01,1,1
80,IPC_SYN,SYN-01,1,1
81,IPC_SYN,SYN-01,1,1
82,SPECIAL_LAW_SYN,SYN-03,1,1
83,IPC_SYN,SYN-01,1,1
84,SPECIAL_LAW_SYN,SYN-03,1,1
85,SPECIAL_LAW_SYN,SYN-03,1,1
86,IPC_SYN,SYN-01,1,1
87,IPC_SYN,SYN-01,1,1
88,IPC_SYN,SYN-01,1,1
89,SPECIAL_LAW_SYN,SYN-03,1,1
90,SPECIAL_LAW_SYN,SYN-03,1,1
91,SPECIAL_LAW_SYN,SYN-03,1,1
92,SPECIAL_LAW_SYN,SYN-03,1,1
93,IPC_SYN,SYN-01,1,1
94,IPC_SYN,SYN-01,1,1
95,IT_ACT_SYN,SYN-02,1,1
96,IT_ACT_SYN,SYN-02,1,1
97,IPC_SYN,SYN-01,1,1
98,IPC_SYN,SYN-01,1,1
99,IPC_SYN,SYN-01,1,1
100,IPC_SYN,SYN-01,1,1
101,IPC_SYN,SYN-01,1,1
102,SPECIAL_LAW_SYN,SYN-03,1,1
103,IPC_SYN,SYN-01,1,1
104,SPECIAL_LAW_SYN,SYN-03,1,1
105,IT_ACT_SYN,SYN-02,1,1
106,SPECIAL_LAW_SYN,SYN-03,1,1
107,SPECIAL_LAW_SYN,SYN-03,1,1
108,SPECIAL_LAW_SYN,SYN-03,1,1
109,IPC_SYN,SYN-01,1,1
110,IPC_SYN,SYN-01,1,1
111,SPECIAL_LAW_SYN,SYN-03,1,1
112,IT_ACT_SYN,SYN-02,1,1
113,IT_ACT_SYN,SYN-02,1,1
114,IPC_SYN,SYN-01,1,1
115,SPECIAL_LAW_SYN,SYN-03,1,1
116,IPC_SYN,SYN-01,1,1
117,IPC_SYN,SYN-01,1,1
118,IPC_SYN,SYN-01,1,1
119,SPECIAL_LAW_SYN,SYN-03,1,1
120,IPC_SYN,SYN-01,1,1
121,IT_ACT_SYN,SYN-02,1,1
122,IPC_SYN,SYN-01,1,1
