CrimeHeadID,ActCode,SectionCode
1,ARMS_ACT_1959,ARMS_25
2,EXPLOSIVES_ACT_1884,EXPLOSIVES_3
3,IPC_1860,IPC_307
4,IPC_1860,IPC_457
5,BNS_2023,BNS_316
6,IPC_1860,IPC_420
7,IT_ACT_2000,IT_66D
8,IPC_1860,IPC_498A
9,IPC_1860,IPC_304B
10,NDPS_1985,NDPS_20
11,IPC_1860,IPC_468
12,IPC_1860,IPC_420
13,IPC_1860,IPC_326
14,ITPA_1956,ITPA_1956
15,IPC_1860,IPC_323
16,IPC_1860,IPC_363
17,IPC_1860,IPC_302
18,NDPS_1985,NDPS_22
19,POCSO_2012,POCSO_4
20,IPC_1860,IPC_376
21,IPC_1860,IPC_147
22,IPC_1860,IPC_392
23,IPC_1860,IPC_354
24,IPC_1860,IPC_379
25,IPC_1860,IPC_379
26,BNS_2023,BNS_109
27,IPC_1860,IPC_384
28,IPC_1860,IPC_506
29,BNS_2023,BNS_111
30,IT_ACT_2000,IT_66
31,PMLA_2002,PMLA_3
32,MOTOR_VEHICLE_1988,MVA_185
33,NDPS_1985,NDPS_20
34,IPC_1860,IPC_409
35,IPC_1860,IPC_489A
36,ARMS_ACT_1959,ARMS_25
37,IT_ACT_2000,IT_66C
38,KGS_ACT_1963,KGA_3
39,IPC_1860,IPC_457
40,UAPA_1967,UAPA_15
