CaseMasterID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,2024-06-14 05:07:00,2024-06-14 05:35:04,2024-06-15 00:44:00,15.993327,74.348303,Kidnapping reported in Belagavi area
2,2025-11-17 05:27:00,2025-11-17 07:22:57,2025-11-29 00:40:00,17.986537,77.587097,Robbery reported in Bidar area
3,2025-12-20 22:24:00,2025-12-21 02:43:05,2025-12-23 14:06:00,15.23254,76.777299,Burglary reported in Dharwad area
4,2026-05-27 19:33:00,2026-05-27 20:18:48,2026-06-06 07:01:00,15.14132,75.902299,Sexual Harassment reported in Ballari area
5,2026-05-16 23:57:00,2026-05-17 05:56:47,2026-05-26 00:32:00,12.601935,76.919146,Hurt reported in Mysuru area
6,2025-08-05 06:40:00,2025-08-05 07:26:50,2025-08-07 05:31:00,13.222969,78.09075,Hurt reported in Tumakuru area
7,2024-11-22 04:46:00,2024-11-22 05:23:35,2024-12-04 20:55:00,11.980757,77.203844,Vehicle Theft reported in Chamarajanagar area
8,2025-01-09 00:38:00,2025-01-09 05:49:50,2025-01-18 08:57:00,15.870997,74.596761,Cyber Crime reported in Bagalkot area
9,2026-07-05 20:06:00,2026-07-06 00:46:40,2026-07-15 12:51:00,13.369724,75.864322,Cyber Crime reported in Chikkamagaluru area
10,2026-07-11 00:52:00,2026-07-11 02:43:53,2026-07-18 13:49:00,15.328344,74.934889,Arms Act reported in Davanagere area
11,2025-07-31 10:27:00,2025-07-31 15:31:27,2025-08-05 07:25:00,12.629146,76.878092,Rape reported in Yadgir area
12,2025-12-26 06:08:00,2025-12-26 11:36:24,2026-01-01 12:40:00,15.779714,74.489374,Fraud reported in Bagalkot area
13,2025-11-08 08:03:00,2025-11-08 11:25:53,2025-11-14 21:41:00,14.179276,75.041855,Theft reported in Shivamogga area
14,2025-12-13 21:18:00,2025-12-14 02:35:50,2025-12-28 20:10:00,15.148252,76.899977,Cheating reported in Dharwad area
15,2026-03-01 14:14:00,2026-03-01 18:35:15,2026-03-10 12:25:00,12.589888,77.012588,Forgery reported in Kalaburagi area
16,2025-07-31 14:44:00,2025-07-31 18:20:58,2025-08-08 13:15:00,13.346002,77.724452,Chain Snatching reported in Bengaluru Rural area
17,2024-06-15 21:28:00,2024-06-16 01:51:18,2024-06-19 11:17:00,15.673244,74.555573,Robbery reported in Bagalkot area
18,2025-07-01 00:50:00,2025-07-01 05:16:17,2025-07-04 01:57:00,13.303136,77.714926,Theft reported in Bengaluru Rural area
19,2024-04-23 06:54:00,2024-04-23 11:06:03,2024-05-06 06:50:00,13.317813,74.768706,Arms Act reported in Udupi area
20,2024-08-10 05:38:00,2024-08-10 07:18:47,2024-08-16 03:04:00,13.978202,75.599321,Grievous Hurt reported in Raichur area
21,2024-05-22 05:58:00,2024-05-22 11:20:45,2024-05-27 22:57:00,14.566396,75.855395,Arson reported in Kolar area
22,2024-11-28 23:59:00,2024-11-29 01:13:30,2024-12-07 04:36:00,13.901058,75.609683,Domestic Violence reported in Gadag area
23,2024-02-20 14:04:00,2024-02-20 18:44:04,2024-03-06 08:23:00,12.411691,76.930496,Fraud reported in Kalaburagi area
24,2025-11-23 01:23:00,2025-11-23 02:02:37,2025-12-02 17:44:00,15.879239,74.563902,Chain Snatching reported in Bagalkot area
25,2025-07-07 01:24:00,2025-07-07 03:25:40,2025-07-21 11:58:00,14.91448,75.32258,Forgery reported in Dakshina Kannada area
26,2024-11-05 22:42:00,2024-11-06 03:17:48,2024-11-10 02:41:00,14.505992,75.984256,Dowry Death reported in Kolar area
27,2024-05-28 17:40:00,2024-05-28 20:52:53,2024-06-12 00:30:00,12.197203,76.825843,Cheating reported in Haveri area
28,2024-01-31 05:21:00,2024-01-31 08:17:30,2024-02-12 14:27:00,15.439817,75.035965,Rioting reported in Davanagere area
29,2024-03-24 06:24:00,2024-03-24 06:34:06,2024-04-07 04:58:00,12.902156,77.538241,Theft reported in Vijayanagara area
30,2025-09-26 08:47:00,2025-09-26 12:20:33,2025-09-28 17:25:00,13.847359,75.573466,Forgery reported in Raichur area
31,2025-05-25 12:23:00,2025-05-25 16:47:16,2025-05-28 08:55:00,13.053969,77.753754,Rioting reported in Vijayanagara area
32,2024-08-27 00:44:00,2024-08-27 06:05:58,2024-08-30 01:21:00,13.302163,75.745066,Chain Snatching reported in Chikkamagaluru area
33,2025-08-08 09:28:00,2025-08-08 11:35:19,2025-08-17 15:24:00,14.2363,76.498905,Rioting reported in Chitradurga area
34,2025-07-21 05:16:00,2025-07-21 07:46:21,2025-07-28 04:47:00,15.148301,76.012146,Human Trafficking reported in Ballari area
35,2025-09-23 05:26:00,2025-09-23 10:19:25,2025-10-05 15:32:00,12.455678,76.863156,PoCSO Act reported in Yadgir area
36,2025-01-04 04:44:00,2025-01-04 07:27:43,2025-01-09 18:30:00,17.927537,77.386367,Cyber Crime reported in Bidar area
37,2025-09-07 08:07:00,2025-09-07 08:35:43,2025-09-17 05:17:00,13.538706,77.617367,NDPS Act reported in Chikkaballapura area
38,2024-10-16 04:01:00,2024-10-16 05:06:47,2024-10-19 23:27:00,15.761829,74.422842,Cheating reported in Belagavi area
39,2024-06-12 11:23:00,2024-06-12 16:38:28,2024-06-21 20:37:00,14.079809,75.499329,NDPS Act reported in Uttara Kannada area
40,2024-01-22 15:50:00,2024-01-22 18:39:58,2024-02-02 20:38:00,12.512555,76.90275,Chain Snatching reported in Yadgir area
41,2026-01-07 17:10:00,2026-01-07 19:03:01,2026-01-13 02:23:00,14.506929,75.948195,Sexual Harassment reported in Kolar area
42,2024-07-07 13:49:00,2024-07-07 18:46:57,2024-07-16 20:14:00,12.947885,77.519374,Grievous Hurt reported in Vijayanagara area
43,2025-05-28 18:49:00,2025-05-28 20:42:41,2025-06-02 05:09:00,12.576403,77.035957,Domestic Violence reported in Hassan area
44,2025-02-10 06:57:00,2025-02-10 07:57:41,2025-02-16 05:20:00,13.088338,77.626264,Murder reported in Vijayanagara area
45,2025-12-19 22:31:00,2025-12-20 00:39:28,2025-12-22 14:56:00,13.114689,77.752007,Rape reported in Bengaluru Rural area
46,2026-02-02 06:41:00,2026-02-02 08:45:38,2026-02-07 02:39:00,15.838767,74.540225,Drug Possession reported in Bagalkot area
47,2024-11-09 22:18:00,2024-11-10 01:49:15,2024-11-23 16:22:00,13.103643,78.214046,Human Trafficking reported in Tumakuru area
48,2024-07-08 03:41:00,2024-07-08 03:47:39,2024-07-08 16:07:00,12.945351,77.590692,Arms Act reported in Bengaluru Urban area
49,2024-09-24 10:22:00,2024-09-24 13:30:30,2024-10-07 11:32:00,14.01473,75.589428,Kidnapping reported in Gadag area
50,2025-07-23 17:57:00,2025-07-23 19:35:42,2025-07-28 01:56:00,15.094607,76.110923,Sexual Harassment reported in Ballari area
51,2024-11-05 23:35:00,2024-11-06 04:13:20,2024-11-20 21:00:00,14.382156,75.854274,Arms Act reported in Kolar area
52,2025-01-23 09:12:00,2025-01-23 12:09:45,2025-02-05 03:24:00,14.566533,75.835743,Dowry Death reported in Kolar area
53,2025-12-27 07:46:00,2025-12-27 11:00:13,2026-01-04 17:50:00,15.836509,74.471534,Burglary reported in Belagavi area
54,2026-01-05 03:35:00,2026-01-05 09:07:18,2026-01-11 23:34:00,12.511924,76.992285,Cheating reported in Hassan area
55,2024-11-10 17:57:00,2024-11-10 22:40:33,2024-11-18 14:57:00,13.298672,75.787665,Sexual Harassment reported in Chikkamagaluru area
56,2024-01-16 23:51:00,2024-01-17 05:38:03,2024-01-30 23:58:00,13.351557,77.689905,Arms Act reported in Chikkaballapura area
57,2025-04-11 02:11:00,2025-04-11 03:23:49,2025-04-24 01:30:00,12.044171,76.721166,Arson reported in Koppal area
58,2024-10-10 08:32:00,2024-10-10 11:24:36,2024-10-19 14:48:00,12.930707,77.438283,Arms Act reported in Bengaluru Urban area
59,2024-03-21 09:58:00,2024-03-21 15:04:44,2024-03-28 05:19:00,13.921967,75.626753,Drug Possession reported in Raichur area
60,2025-11-06 21:11:00,2025-11-06 21:53:36,2025-11-09 10:15:00,15.284594,75.941189,Theft reported in Ballari area
61,2025-05-30 20:55:00,2025-05-30 23:40:46,2025-06-07 01:11:00,12.446452,76.920587,Domestic Violence reported in Mysuru area
62,2025-02-21 14:00:00,2025-02-21 19:01:21,2025-03-06 00:58:00,12.397017,75.706309,Forgery reported in Mandya area
63,2026-02-27 09:09:00,2026-02-27 13:39:31,2026-03-02 07:56:00,12.524313,76.969365,Arson reported in Ramanagara area
64,2024-07-27 19:30:00,2024-07-27 19:50:23,2024-08-03 14:24:00,14.533137,75.952385,Sexual Harassment reported in Kolar area
65,2025-07-02 00:21:00,2025-07-02 00:59:42,2025-07-09 13:56:00,13.428717,77.894086,Sexual Harassment reported in Chikkaballapura area
66,2025-01-01 19:53:00,2025-01-01 23:25:57,2025-01-03 13:03:00,12.54271,76.900856,Grievous Hurt reported in Yadgir area
67,2026-03-08 23:27:00,2026-03-09 05:26:35,2026-03-23 19:53:00,13.347819,74.7409,Chain Snatching reported in Kodagu area
68,2026-03-19 02:03:00,2026-03-19 02:35:51,2026-03-24 17:23:00,13.348435,74.653924,Robbery reported in Kodagu area
69,2024-04-02 17:35:00,2024-04-02 23:27:28,2024-04-08 21:22:00,13.242819,74.775989,Arms Act reported in Kodagu area
70,2025-02-22 13:42:00,2025-02-22 16:26:42,2025-03-09 02:08:00,14.172301,75.599151,Attempt to Murder reported in Uttara Kannada area
71,2026-02-15 16:54:00,2026-02-15 21:18:55,2026-03-02 01:04:00,12.410795,76.86906,Fraud reported in Hassan area
72,2026-04-07 23:34:00,2026-04-08 02:33:34,2026-04-18 20:41:00,11.978824,77.22818,Grievous Hurt reported in Chamarajanagar area
73,2026-05-09 07:36:00,2026-05-09 12:33:16,2026-05-09 18:18:00,12.582669,76.895427,Human Trafficking reported in Kalaburagi area
74,2024-05-13 05:22:00,2024-05-13 07:51:48,2024-05-17 02:50:00,14.415233,75.892539,Chain Snatching reported in Vijayapur area
75,2025-02-15 17:50:00,2025-02-15 18:44:47,2025-02-18 11:45:00,13.383674,75.937092,Kidnapping reported in Chikkamagaluru area
76,2025-01-12 12:25:00,2025-01-12 15:50:52,2025-01-13 06:36:00,15.160704,76.927101,Vehicle Theft reported in Dharwad area
77,2025-10-30 13:46:00,2025-10-30 17:32:07,2025-11-09 11:01:00,12.381161,76.919966,Drug Possession reported in Mysuru area
78,2025-08-14 10:40:00,2025-08-14 13:55:01,2025-08-23 20:23:00,13.44756,77.690228,Robbery reported in Chikkaballapura area
79,2026-04-25 11:39:00,2026-04-25 15:11:42,2026-05-08 13:37:00,15.175467,75.906712,Arson reported in Ballari area
80,2026-06-19 19:52:00,2026-06-20 00:02:05,2026-06-28 01:46:00,14.417195,75.920706,Chain Snatching reported in Vijayapur area
81,2025-05-12 01:55:00,2025-05-12 02:40:02,2025-05-24 00:02:00,12.474526,75.847049,Fraud reported in Mandya area
82,2024-10-04 16:58:00,2024-10-04 21:28:10,2024-10-15 15:11:00,12.489871,76.946002,Arms Act reported in Hassan area
83,2024-10-04 05:52:00,2024-10-04 09:58:25,2024-10-07 06:56:00,13.982633,75.65543,Vehicle Theft reported in Gadag area
84,2024-02-20 22:08:00,2024-02-20 23:52:52,2024-03-05 05:53:00,15.851566,74.404642,Hurt reported in Bagalkot area
85,2025-12-28 04:42:00,2025-12-28 05:27:06,2026-01-05 04:26:00,12.432466,76.907033,Drug Possession reported in Mysuru area
86,2026-04-17 00:55:00,2026-04-17 03:29:12,2026-04-25 20:08:00,15.164141,77.03235,Domestic Violence reported in Dharwad area
87,2025-07-19 16:52:00,2025-07-19 22:35:33,2025-07-31 07:38:00,13.804196,75.665058,Vehicle Theft reported in Gadag area
88,2025-07-29 08:00:00,2025-07-29 13:43:36,2025-08-02 04:20:00,12.500777,76.886039,Forgery reported in Mysuru area
89,2025-02-08 06:42:00,2025-02-08 06:43:07,2025-02-11 19:38:00,15.23344,75.887599,Hurt reported in Ballari area
90,2025-07-29 18:48:00,2025-07-29 19:39:13,2025-08-02 15:46:00,13.968462,75.668199,Hurt reported in Gadag area
91,2025-08-23 19:22:00,2025-08-24 00:01:49,2025-09-05 16:54:00,12.573833,76.957901,NDPS Act reported in Yadgir area
92,2025-02-20 13:56:00,2025-02-20 16:00:44,2025-02-23 13:47:00,13.386836,75.800206,Arms Act reported in Chikkamagaluru area
93,2024-09-26 03:08:00,2024-09-26 08:04:18,2024-10-07 20:22:00,13.958733,75.61547,Chain Snatching reported in Raichur area
94,2024-08-15 16:29:00,2024-08-15 18:11:10,2024-08-17 18:56:00,12.522926,76.833286,Fraud reported in Yadgir area
95,2026-07-15 12:39:00,2026-07-15 17:13:52,2026-07-17 20:32:00,14.883702,75.235997,Grievous Hurt reported in Dakshina Kannada area
96,2024-05-19 03:56:00,2024-05-19 05:54:32,2024-05-20 15:13:00,12.437614,76.82594,Cyber Crime reported in Yadgir area
97,2026-04-11 11:45:00,2026-04-11 13:44:39,2026-04-17 12:52:00,14.140246,75.559737,Domestic Violence reported in Uttara Kannada area
98,2024-10-10 08:25:00,2024-10-10 13:43:11,2024-10-24 20:41:00,13.613571,77.894355,Cheating reported in Chikkaballapura area
99,2026-02-06 05:22:00,2026-02-06 07:39:53,2026-02-20 06:34:00,15.223833,76.865635,Human Trafficking reported in Dharwad area
100,2024-09-10 17:30:00,2024-09-10 19:54:09,2024-09-14 10:28:00,14.441452,75.884179,PoCSO Act reported in Kolar area
101,2025-06-04 02:55:00,2025-06-04 06:54:06,2025-06-08 17:12:00,15.947296,74.613601,Fraud reported in Bagalkot area
102,2025-06-28 15:07:00,2025-06-28 19:58:07,2025-07-11 23:51:00,13.072235,78.190325,NDPS Act reported in Tumakuru area
103,2024-07-19 13:25:00,2024-07-19 13:55:00,2024-07-30 04:42:00,14.202037,75.014039,Vehicle Theft reported in Shivamogga area
104,2025-09-16 23:48:00,2025-09-17 04:21:36,2025-09-20 19:06:00,15.79367,74.688669,Theft reported in Belagavi area
105,2026-02-23 02:08:00,2026-02-23 07:26:56,2026-03-06 14:43:00,13.326858,74.615589,Cyber Crime reported in Udupi area
106,2026-02-26 01:22:00,2026-02-26 07:09:02,2026-03-07 17:39:00,15.594716,75.036686,Arms Act reported in Davanagere area
107,2025-03-09 13:20:00,2025-03-09 19:19:41,2025-03-10 13:29:00,13.307079,74.631075,Theft reported in Udupi area
108,2024-03-20 12:34:00,2024-03-20 15:12:21,2024-03-27 22:12:00,13.010065,77.493059,NDPS Act reported in Vijayanagara area
109,2024-12-05 10:14:00,2024-12-05 10:20:44,2024-12-15 18:25:00,12.34294,76.623291,Kidnapping reported in Haveri area
110,2025-02-10 11:15:00,2025-02-10 16:45:34,2025-02-13 09:46:00,12.111864,76.659857,Arson reported in Koppal area
111,2024-02-24 15:47:00,2024-02-24 21:14:30,2024-03-08 19:49:00,12.163055,76.753045,Dowry Death reported in Koppal area
112,2026-06-21 08:33:00,2026-06-21 13:04:43,2026-06-25 14:27:00,12.816596,77.64997,Rioting reported in Bengaluru Urban area
113,2024-10-29 09:47:00,2024-10-29 14:37:33,2024-10-29 23:48:00,14.829938,75.381198,Cyber Crime reported in Dakshina Kannada area
114,2025-09-15 20:58:00,2025-09-16 02:27:58,2025-09-16 11:54:00,12.238701,76.810588,Arson reported in Haveri area
115,2025-10-27 05:10:00,2025-10-27 06:08:21,2025-11-08 09:25:00,14.251614,75.167311,Theft reported in Shivamogga area
116,2026-05-31 18:21:00,2026-05-31 21:14:57,2026-06-04 06:11:00,12.531213,77.013616,Arson reported in Yadgir area
117,2025-01-26 23:17:00,2025-01-27 04:55:05,2025-01-31 14:47:00,14.301748,75.732206,Forgery reported in Uttara Kannada area
118,2024-06-02 14:21:00,2024-06-02 18:26:32,2024-06-15 06:53:00,13.003465,77.640088,Attempt to Murder reported in Vijayanagara area
119,2026-06-10 23:41:00,2026-06-11 02:31:36,2026-06-20 02:19:00,12.983621,77.703519,NDPS Act reported in Bengaluru Urban area
120,2025-06-07 23:49:00,2025-06-08 05:32:46,2025-06-19 03:55:00,12.875902,77.558832,Forgery reported in Vijayanagara area
121,2024-02-09 07:05:00,2024-02-09 07:50:38,2024-02-21 02:21:00,17.850246,77.680638,Grievous Hurt reported in Bidar area
122,2024-10-18 20:41:00,2024-10-19 00:55:08,2024-10-30 04:32:00,12.535781,76.889987,PoCSO Act reported in Kalaburagi area
123,2024-06-04 10:14:00,2024-06-04 16:00:07,2024-06-18 16:43:00,12.619426,76.876757,Burglary reported in Ramanagara area
124,2025-11-23 11:53:00,2025-11-23 16:26:22,2025-11-27 12:47:00,12.194954,76.703552,Arson reported in Koppal area
125,2025-05-05 02:21:00,2025-05-05 05:52:37,2025-05-09 04:45:00,15.814987,74.49777,Kidnapping reported in Belagavi area
126,2026-05-05 21:32:00,2026-05-06 02:25:55,2026-05-12 03:13:00,14.5366,75.776348,Drug Possession reported in Vijayapur area
127,2026-02-05 21:48:00,2026-02-06 00:28:56,2026-02-10 01:11:00,12.991701,77.463776,Arms Act reported in Vijayanagara area
128,2025-10-03 01:10:00,2025-10-03 06:18:51,2025-10-04 16:43:00,13.429913,74.645234,Burglary reported in Udupi area
129,2024-05-10 12:32:00,2024-05-10 15:40:06,2024-05-11 10:54:00,11.80855,77.122097,Murder reported in Chamarajanagar area
130,2026-03-10 01:50:00,2026-03-10 04:00:22,2026-03-10 05:50:00,13.968703,75.584086,Murder reported in Uttara Kannada area
131,2024-01-19 02:34:00,2024-01-19 04:43:29,2024-01-30 04:54:00,14.523848,75.953614,Cheating reported in Vijayapur area
132,2024-05-12 01:37:00,2024-05-12 04:00:26,2024-05-16 09:13:00,14.311789,75.995716,Domestic Violence reported in Kolar area
133,2025-07-15 16:29:00,2025-07-15 19:38:11,2025-07-27 13:45:00,17.937687,77.546285,Attempt to Murder reported in Bidar area
134,2024-03-07 17:17:00,2024-03-07 20:53:27,2024-03-16 15:05:00,12.959867,77.540738,Chain Snatching reported in Vijayanagara area
135,2026-07-11 00:04:00,2026-07-11 00:27:08,2026-07-16 14:15:00,12.936403,77.670228,Cheating reported in Vijayanagara area
136,2024-05-18 08:15:00,2024-05-18 10:36:07,2024-05-22 07:10:00,13.959899,75.611822,Hurt reported in Raichur area
137,2024-05-29 00:44:00,2024-05-29 06:30:32,2024-06-03 22:53:00,15.124927,75.949455,Murder reported in Ballari area
138,2025-10-27 12:46:00,2025-10-27 16:21:13,2025-11-09 09:45:00,15.106491,76.857316,Murder reported in Dharwad area
139,2026-04-01 12:17:00,2026-04-01 14:21:27,2026-04-13 01:34:00,14.302026,74.999781,Dowry Death reported in Shivamogga area
140,2024-11-23 08:56:00,2024-11-23 09:09:24,2024-12-02 02:52:00,14.856507,75.580587,Human Trafficking reported in Dakshina Kannada area
141,2024-12-07 15:47:00,2024-12-07 16:04:39,2024-12-18 13:14:00,15.174173,77.001008,Grievous Hurt reported in Dharwad area
142,2025-11-15 01:41:00,2025-11-15 06:01:54,2025-11-29 19:38:00,13.435139,77.880869,PoCSO Act reported in Chikkaballapura area
143,2024-04-26 17:57:00,2024-04-26 22:50:11,2024-05-10 03:25:00,15.008714,76.960153,Rioting reported in Dharwad area
144,2025-11-03 09:31:00,2025-11-03 12:31:51,2025-11-07 06:17:00,13.132941,77.65173,Rioting reported in Bengaluru Rural area
145,2024-04-02 05:28:00,2024-04-02 06:01:49,2024-04-09 00:22:00,12.531454,77.046172,Dowry Death reported in Ramanagara area
146,2024-07-12 03:35:00,2024-07-12 03:52:20,2024-07-18 01:43:00,12.164296,76.715697,PoCSO Act reported in Koppal area
