RankID,RankName,ShortName,Active
1,Director General of Police,DGP,true
2,Additional Director General of Police,ADGP,true
3,Inspector General of Police,IGP,true
4,Deputy Inspector General of Police,DIG,true
5,Superintendent of Police,SP,true
6,Additional Superintendent of Police,Addl SP,true
7,Deputy Superintendent of Police / ACP,DySP / ACP,true
8,Inspector of Police,PI,true
9,Sub-Inspector of Police,PSI,true
10,Assistant Sub-Inspector of Police,ASI,true
11,Head Constable,HC,true
12,Police Constable,PC,true
