UnitTypeID,UnitTypeName,CityDistState,Hierarchy,Active
1,Police Station,District,1,1
2,Sub-Divisional Police Office (SDPO),Sub-Division,2,1
3,District Police Office (SP Office),District,3,1
4,City Police Commissionerate,City,3,1
5,Police Range Headquarters (IGP Range),Range,4,1
6,State Police Headquarters (DGP Office),State,5,1
7,CEN Police Station (Cyber Economics & Narcotics),District,1,1
8,Criminal Investigation Department (CID),State,4,1
9,Traffic Police Station,City,1,1
10,All Women Police Station (AWPS),District,1,1
11,Internal Security Division (ISD),State,4,1
12,Anti-Terrorism Squad (ATS),State,4,1
