CaseCategoryID,LookupValue
1,Special Report Case (SR Case)
2,Heinous Crime
3,Organized Crime Syndicate
4,White Collar Financial Crime
5,Cyber Cell Special Investigation
6,Narcotics & NDPS Special Operation
7,Human & Minor Trafficking
8,Property & Burglary Crime
9,Juvenile Crime & Delinquency
10,Public Order & Riot Crime
11,Non-SR Crime (General Crime)
12,Crimes Against Women & POCSO
13,Crimes Against SC/ST (POA Act)
14,Crimes Against Senior Citizens
15,Economic Offences Wing (EOW & Fraud)
16,Terrorism & National Security (UAPA / Internal Security)
17,Homicide & Violent Offences
18,Kidnapping & Abduction for Ransom
19,Maritime & Coastal Security Offence
20,Forgery, Counterfeiting & Impersonation
21,Environmental & Wildlife Protection Offence
22,Arms & Explosives Special Taskforce Case
23,Road Traffic Accident & Hit-and-Run
24,Inter-State Gangster & Smuggling Racket
25,Online Gaming & Illegal Betting Syndicate
