CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2024-10-16,Charge Sheet,10
2,2,2026-01-25,Final Report,19
3,3,2026-02-18,Supplementary Report,40
4,4,2026-07-22,Final Report,5
5,5,2026-07-22,Charge Sheet,67
6,6,2025-12-29,Final Report,78
7,7,2025-03-12,Charge Sheet,21
8,8,2025-11-03,Supplementary Report,4
9,9,2026-07-22,Charge Sheet,26
10,10,2026-07-22,Final Report,37
11,11,2025-10-23,Charge Sheet,92
12,12,2026-06-16,Supplementary Report,3
13,13,2026-07-22,Charge Sheet,75
14,14,2026-07-22,Final Report,39
15,15,2026-04-14,Final Report,50
16,16,2026-07-08,Charge Sheet,12
17,17,2024-08-10,Final Report,4
18,18,2025-08-15,Charge Sheet,11
19,19,2024-06-29,Final Report,82
20,20,2024-11-07,Final Report,70
21,21,2024-08-14,Charge Sheet,56
22,22,2025-11-26,Charge Sheet,42
23,23,2025-01-20,Final Report,50
24,24,2026-07-22,Final Report,1
25,25,2026-07-13,Charge Sheet,33
26,26,2025-06-04,Charge Sheet,57
27,27,2024-09-21,Final Report,47
28,28,2024-11-21,Final Report,35
29,29,2024-05-21,Final Report,86
30,30,2025-12-23,Charge Sheet,69
31,31,2026-05-15,Charge Sheet,88
32,32,2024-11-03,Final Report,26
33,33,2025-11-08,Charge Sheet,29
34,34,2025-12-21,Charge Sheet,6
35,35,2026-03-11,Final Report,92
36,36,2025-06-01,Final Report,17
37,37,2025-10-26,Final Report,24
38,38,2025-07-06,Final Report,9
39,39,2024-10-02,Final Report,85
40,40,2024-05-08,Charge Sheet,92
41,41,2026-07-22,Final Report,56
42,42,2024-09-09,Charge Sheet,88
43,43,2026-01-18,Final Report,45
44,44,2025-07-07,Charge Sheet,86
45,45,2026-07-22,Charge Sheet,12
46,46,2026-03-27,Final Report,1
47,47,2024-12-25,Final Report,78
48,48,2024-10-22,Final Report,15
49,49,2025-03-17,Charge Sheet,43
50,50,2026-07-05,Charge Sheet,5
51,51,2025-11-07,Final Report,57
52,52,2025-08-19,Charge Sheet,58
53,53,2026-07-22,Final Report,8
54,54,2026-07-22,Charge Sheet,44
55,55,2025-09-27,Final Report,27
56,56,2025-01-22,Charge Sheet,23
57,57,2025-06-15,Final Report,60
58,58,2024-12-12,Supplementary Report,14
59,59,2024-11-19,Final Report,70
60,60,2026-07-22,Final Report,5
61,61,2026-02-01,Final Report,67
62,62,2026-02-19,Final Report,64
63,63,2026-07-22,Final Report,72
64,64,2025-03-04,Final Report,58
65,65,2025-10-03,Final Report,23
66,66,2025-06-26,Final Report,94
67,67,2026-07-22,Final Report,54
68,68,2026-07-22,Final Report,53
69,69,2025-01-11,Final Report,54
70,70,2025-05-19,Supplementary Report,85
71,71,2026-07-22,Final Report,45
72,72,2026-07-22,Final Report,22
73,73,2026-07-13,Final Report,50
74,74,2025-02-02,Final Report,91
75,75,2025-04-11,Final Report,26
76,76,2025-09-17,Final Report,38
77,77,2026-01-04,Charge Sheet,67
78,78,2026-03-25,Charge Sheet,24
79,79,2026-07-22,Final Report,6
80,80,2026-07-22,Final Report,89
81,81,2025-07-03,Final Report,64
82,82,2025-04-04,Final Report,45
83,83,2024-12-02,Supplementary Report,41
84,84,2024-07-31,Final Report,4
85,85,2026-04-23,Supplementary Report,67
86,86,2026-07-22,Final Report,40
87,87,2025-10-12,Supplementary Report,42
88,88,2025-11-18,Charge Sheet,66
89,89,2025-11-15,Charge Sheet,7
90,90,2025-12-16,Final Report,43
91,91,2026-07-22,Final Report,92
92,92,2025-07-04,Final Report,27
93,93,2025-08-21,Charge Sheet,70
94,94,2025-02-19,Charge Sheet,93
95,95,2026-07-22,Final Report,34
96,96,2024-10-17,Final Report,92
97,97,2026-07-22,Charge Sheet,84
98,98,2025-08-09,Charge Sheet,25
99,99,2026-05-31,Final Report,39
100,100,2024-11-04,Final Report,57
101,101,2025-12-25,Final Report,2
102,102,2025-11-25,Final Report,79
103,103,2025-05-14,Final Report,74
104,104,2026-06-09,Supplementary Report,9
105,105,2026-07-22,Charge Sheet,81
106,106,2026-07-22,Final Report,37
107,107,2025-07-20,Final Report,81
108,108,2024-12-13,Charge Sheet,86
109,109,2025-05-09,Charge Sheet,48
110,110,2025-11-01,Final Report,61
111,111,2024-08-31,Final Report,61
112,112,2026-07-22,Final Report,15
113,113,2025-01-07,Charge Sheet,33
114,114,2026-06-04,Final Report,48
115,115,2025-12-23,Final Report,74
116,116,2026-07-22,Final Report,92
117,117,2025-11-02,Final Report,85
118,118,2024-10-20,Final Report,88
119,119,2026-07-22,Final Report,16
120,120,2026-01-29,Final Report,88
121,121,2025-02-08,Supplementary Report,19
122,122,2025-07-20,Final Report,52
123,123,2025-02-24,Final Report,73
124,124,2026-07-22,Final Report,59
125,125,2025-11-26,Charge Sheet,8
126,126,2026-07-22,Charge Sheet,90
127,127,2026-07-22,Final Report,88
128,128,2025-12-20,Final Report,81
129,129,2024-11-28,Charge Sheet,21
130,130,2026-04-13,Final Report,83
131,131,2024-06-15,Supplementary Report,90
132,132,2024-11-07,Final Report,56
133,133,2025-11-25,Final Report,17
134,134,2024-10-13,Supplementary Report,87
135,135,2026-07-22,Charge Sheet,87
136,136,2024-08-04,Final Report,69
137,137,2024-08-15,Final Report,5
138,138,2026-02-14,Charge Sheet,40
139,139,2026-07-03,Final Report,76
140,140,2025-03-25,Final Report,33
141,141,2025-01-31,Final Report,38
142,142,2026-07-22,Charge Sheet,25
143,143,2024-12-01,Supplementary Report,39
144,144,2026-07-15,Final Report,13
145,145,2025-03-07,Final Report,71
146,146,2024-09-30,Charge Sheet,60
147,147,2025-07-03,Final Report,9
148,148,2026-03-26,Charge Sheet,88
149,149,2026-07-22,Final Report,34
150,150,2026-07-22,Charge Sheet,75
151,151,2025-05-06,Final Report,24
152,152,2025-03-28,Final Report,31
153,153,2024-08-13,Supplementary Report,66
154,154,2025-04-24,Charge Sheet,2
155,155,2026-01-06,Final Report,88
156,156,2026-06-18,Final Report,21
157,157,2024-10-21,Final Report,45
158,158,2024-11-01,Final Report,33
159,159,2025-02-28,Charge Sheet,87
160,160,2025-06-15,Final Report,7
161,161,2026-06-15,Charge Sheet,46
162,162,2025-11-05,Final Report,85
163,163,2026-01-13,Final Report,5
164,164,2025-05-16,Final Report,29
165,165,2025-01-24,Charge Sheet,3
166,166,2025-08-02,Final Report,58
167,167,2026-07-22,Charge Sheet,50
168,168,2026-05-13,Final Report,46
169,169,2026-07-15,Final Report,67
170,170,2025-08-03,Final Report,49
171,171,2025-06-22,Supplementary Report,70
172,172,2026-07-22,Final Report,10
173,173,2025-08-07,Supplementary Report,22
174,174,2026-07-06,Final Report,75
175,175,2024-11-06,Final Report,38
176,176,2025-05-16,Supplementary Report,16
177,177,2026-07-22,Final Report,45
178,178,2024-10-18,Charge Sheet,57
179,179,2025-07-09,Final Report,46
180,180,2026-01-03,Charge Sheet,89
181,181,2026-03-22,Final Report,65
182,182,2026-03-19,Final Report,4
183,183,2026-07-22,Charge Sheet,24
184,184,2026-01-24,Supplementary Report,84
185,185,2024-07-28,Charge Sheet,2
186,186,2025-05-14,Final Report,2
187,187,2025-10-30,Charge Sheet,5
188,188,2026-05-21,Final Report,40
189,189,2026-03-30,Final Report,19
190,190,2025-11-15,Charge Sheet,53
191,191,2025-12-24,Final Report,84
192,192,2024-12-24,Final Report,89
